,ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
701,1114228,5,S,11,73,66000.0,0.311,0.221,32.544296,-117.032738,0.681,ML,6,N/O CMNO DE LA PLAZA,1,,,
871,1118326,5,S,11,73,66000.0,1.23,1.14,32.551447,-117.045806,0.982,ML,4,5 SB @ Via de Ysidro,1,,,
873,1118341,5,S,11,73,66000.0,2.276,2.186,32.558188,-117.061806,0.71,ML,4,5 SB @ Dairy Mart,1,,,
719,1114721,5,S,11,73,66000.0,2.649,2.559,32.561106,-117.067228,0.574,ML,4,N/O DAIRY MART RD,1,,,
876,1118365,5,S,11,73,66000.0,3.426,3.336,32.568952,-117.076731,0.722,ML,4,5 SB N/0 905,1,,,
877,1118372,5,S,11,73,66000.0,4.093,4.003,32.576983,-117.083123,0.62,ML,4,5 SB @ Coronado Ave,1,,,
878,1118379,5,S,11,73,66000.0,4.668,4.578,32.584271,-117.087551,0.66,ML,4,5 SB @ Palm Ave,1,,,
903,1118695,5,S,11,73,66000.0,5.414,5.324,32.59507,-117.088901,0.373,ML,4,5 SB @ Main St,1,,,
1008,1120356,5,S,11,73,13392.0,6.717,6.627,32.613849,-117.091173,0.938,ML,3,SB 5 S/O L St,1,,,
879,1118413,5,S,11,73,13392.0,7.291,7.201,32.621946,-117.093171,0.596,ML,4,5 SB @ J St,1,,,
880,1118428,5,S,11,73,13392.0,7.909,7.819,32.630458,-117.096492,1.348,ML,4,5 SB N/O H St,1,,,
702,1114240,5,S,11,73,50398.0,9.988,9.898,32.658893,-117.107675,1.488,ML,4,Bay Marina Dr,1,,,
882,1118465,5,S,11,73,50398.0,10.899,10.796,32.671761,-117.111234,0.64,ML,4,5 SB  Civic Center,1,,,
883,1118472,5,S,11,73,50398.0,11.281,11.178,32.67696,-117.109463,0.526,ML,4,5 SB N/O 8th St,1,,,
703,1114254,5,S,11,73,66000.0,11.951,11.848,32.686001,-117.113072,0.467,ML,5, N/O DIVISION,1,,,
866,1118076,5,S,11,73,66000.0,12.216,12.113,32.688779,-117.116159,0.449,ML,4,SB I5 S/O I15,1,,,
844,1117755,5,S,11,73,66000.0,13.125,13.022,32.694358,-117.129467,0.312,ML,4,SB 5 S/O 29th,1,,,
704,1114268,5,S,11,73,66000.0,13.475,13.372,32.69574,-117.135196,0.697,ML,5, N/O 28TH ST,1,,,
846,1117774,5,S,11,73,66000.0,14.519,14.416,32.7062,-117.147722,0.742,ML,4,SB5 @ Imperial,1,,,
848,1117789,5,S,11,73,66000.0,14.965,14.856,32.712581,-117.147751,0.407,ML,4,SB 5 @ SR 94,1,,,
851,1117810,5,S,11,73,66000.0,15.339,15.23,32.718001,-117.147844,0.421,ML,4,SB 5 @ B ST,1,,,
838,1117683,5,S,11,73,66000.0,15.807,15.698,32.723795,-117.151061,0.386,ML,6,SB5 @PARK BLVD,1,,,
173,1108417,5,S,11,73,66000.0,16.11,16.001,32.723898,-117.156068,0.484,ML,5,5th Ave,1,,,
841,1117734,5,S,11,73,66000.0,16.775,16.666,32.725281,-117.166084,0.614,ML,4,SB 5 @ Grape St,1,,,
338,1108605,5,S,11,73,66000.0,17.339,17.23,32.731834,-117.171905,0.283,ML,5,KETTNER BLVD,1,,,
840,1117724,5,S,11,73,66000.0,17.681,17.572,32.735815,-117.175452,0.409,ML,4,SB 5 N/O Pacific HWY,1,,,
342,1108609,5,S,11,73,66000.0,18.159,18.05,32.741281,-117.180454,0.387,ML,4,HANCOCK ST,1,,,
856,1117871,5,S,11,73,66000.0,18.455,18.346,32.743425,-117.1848,0.386,ML,5,SB5 N/O WASHINGTON,1,,,
348,1108615,5,S,11,73,66000.0,18.931,18.822,32.746784,-117.191904,0.405,ML,5,OLD TOWN AVE,1,,,
852,1117818,5,S,11,73,66000.0,19.265,19.156,32.749919,-117.196234,0.894,ML,5,SB 5 N/O OLD TOWN,1,,,
1303,1126426,5,S,11,73,66000.0,20.72,20.611,32.768531,-117.206423,1.105,ML,5,Seawrold Dr to 5SB,1,,,
721,1114806,5,S,11,73,66000.0,21.475,21.366,32.779286,-117.2086,0.68,ML,5,S/O CLAIRMONT DR,1,,,
433,1108711,5,S,11,73,66000.0,22.082,21.973,32.788012,-117.207155,0.742,ML,5,EB CLAIREMONT DR,1,,,
417,1108693,5,S,11,73,66000.0,22.959,22.85,32.800051,-117.211487,0.746,ML,4,Mission Bay Dr,1,,,
931,1119307,5,S,11,73,66000.0,23.575,23.466,32.807702,-117.216754,0.634,ML,4,SB5 @BALBOA AVE,1,,,
887,1118529,5,S,11,73,66000.0,24.227,24.118,32.815542,-117.222956,1.136,ML,5,5 SB Mission Bay Dr,1,,,
397,1108667,5,S,11,73,66000.0,25.848,25.739,32.836089,-117.234107,1.041,ML,4,La Jolla Pkwy to 5SB,1,,,
965,1119817,5,S,11,73,66000.0,26.31,26.201,32.842472,-117.23661,0.441,ML,4,SB 5 N/O 52,1,,,
